student,date,effortScore,class,acPercentile
477768,03/2021,83,2021 Year 7,0.90
446484,03/2021,83,2021 Year 7,0.58
383448,03/2021,95,2021 Year 7,0.97
394950,03/2021,64,2021 Year 7,0.22
439751,03/2021,81,2021 Year 7,0.38
413309,03/2021,81,2021 Year 7,0.62
417021,03/2021,95,2021 Year 7,0.68
387698,03/2021,83,2021 Year 7,0.56
462749,03/2021,81,2021 Year 7,0.41
451772,03/2021,79,2021 Year 7,0.49
437244,03/2021,87,2021 Year 7,0.27
450689,03/2021,92,2021 Year 7,0.69
408849,03/2021,85,2021 Year 7,0.13
472926,03/2021,57,2021 Year 7,0.21
395536,03/2021,88,2021 Year 7,0.46
390452,03/2021,88,2021 Year 7,0.43
439610,03/2021,79,2021 Year 7,0.77
475950,03/2021,89,2021 Year 7,0.70
428561,03/2021,94,2021 Year 7,0.92
458174,03/2021,91,2021 Year 7,0.27
462302,03/2021,86,2021 Year 7,0.26
449259,03/2021,80,2021 Year 7,0.13
482423,03/2021,76,2021 Year 7,0.88
399189,03/2021,87,2021 Year 7,0.68
464963,03/2021,78,2021 Year 7,0.15
477962,03/2021,70,2021 Year 7,0.65
387568,03/2021,87,2021 Year 7,0.44
477140,03/2021,89,2021 Year 7,0.84
462236,03/2021,69,2021 Year 7,0.22
445260,03/2021,85,2021 Year 7,0.55
426914,03/2021,90,2021 Year 7,0.30
406815,03/2021,67,2021 Year 7,0.07
436903,03/2021,75,2021 Year 7,0.02
449800,03/2021,85,2021 Year 7,0.99
481420,03/2021,72,2021 Year 7,0.11
428185,03/2021,93,2021 Year 7,0.91
460836,03/2021,90,2021 Year 7,0.73
459609,03/2021,83,2021 Year 7,0.40
472002,03/2021,88,2021 Year 7,0.69
467190,03/2021,90,2021 Year 7,0.60
433473,03/2021,92,2021 Year 7,0.71
424325,03/2021,75,2021 Year 7,0.36
450521,03/2021,62,2021 Year 7,0.04
460505,03/2021,69,2021 Year 7,0.26
423145,03/2021,93,2021 Year 7,0.39
387070,03/2021,71,2021 Year 7,0.02
479408,03/2021,67,2021 Year 7,0.17
461331,03/2021,90,2021 Year 7,0.86
463268,03/2021,94,2021 Year 7,0.46
443179,03/2021,97,2021 Year 7,0.74
385135,03/2021,66,2021 Year 7,0.59
421871,03/2021,78,2021 Year 7,0.22
385344,03/2021,90,2021 Year 7,0.75
453329,03/2021,0,2021 Year 7,0.00
421284,03/2021,84,2021 Year 7,0.20
432860,03/2021,91,2021 Year 7,0.50
446195,03/2021,88,2021 Year 7,0.85
407159,03/2021,94,2021 Year 7,0.91
431958,03/2021,89,2021 Year 7,0.35
471365,03/2021,94,2021 Year 7,0.88
412051,03/2021,93,2021 Year 7,0.76
401295,03/2021,85,2021 Year 7,0.40
476290,03/2021,87,2021 Year 7,0.30
385300,03/2021,78,2021 Year 7,0.40
441983,03/2021,78,2021 Year 7,0.83
447384,03/2021,93,2021 Year 7,0.24
397567,03/2021,85,2021 Year 7,0.47
482451,03/2021,94,2021 Year 7,0.87
426231,03/2021,87,2021 Year 7,0.11
407057,03/2021,94,2021 Year 7,0.46
396426,03/2021,76,2021 Year 7,0.68
402868,03/2021,88,2021 Year 7,0.15
379007,03/2021,90,2021 Year 7,0.75
432347,03/2021,95,2021 Year 7,0.88
430856,03/2021,84,2021 Year 7,0.63
478626,03/2021,84,2021 Year 7,0.84
480993,03/2021,64,2021 Year 7,0.82
